"ASN","Entity"
"24482","SGGS-AS-AP SG.GS, SG"
"24549","Pacificnet Hosting Ltd"
"24558","Internet Hosting Service Provider to the Aditya"
"24589","Telenet SIA (TELENETSIA-AS)"
"24611","Datacenter Luxembourg S.A."
"24669","CLOUVIDER-NETWORK-OPTIMISATION Clouvider Limited"
"24676","Keyweb AG (LINETEX-AS)"
"24679","Hostway Deutschland GmbH"
"24725","Hostmaster LLC"
"24768","ALMOUROLTEC, PT"
"24778","Datapipe-UK - Rackspace Ltd."
"24867","Adapt-AS - Rackspace Ltd."
"24875","NOVOSERVE-AS, NL"
"24931","DediPower Managed Hosting Limited"
"24940","HETZNER-AS, DE"
"24958","The Bunker Secure Hosting Limited"
"24961","MYLOC-AS, DE"
"24969","DIR-AS Itm8 A/S (ITM8 / TDC Hosting)"
"24971","MASTER-AS Czech Republic / www.master.cz, CZ"
"24973","KOMPLEX-AS"
"24997","AS for CDN"
"25048","DSNet Hosting Limited"
"25065","CEGEKA-CLOUD / Cegeka NV"
"25074","INETBONE-AS PlusServer GmbH"
"25116","Cyber_Folks-RO-Gazduire Cyber_Folks SRL"
"25128","Hostway Deutschland GmbH"
"25163","NG-NIGERIA-AS, NG"
"25260","QualityHosting AG"
"25288","LIR-UKRAINE-AS"
"25335","GB | Next Global Services L.p."
"25369","BANDWIDTH-AS, GB"
"25379","PEKITEL-AS, RU"
"25459","Nedzzone"
"25467","Akton d.o.o."
"25484","firstcolo GmbH (FIRSTCOLO-HA)"
"25486","DE | 'Lightup Network Solutions GmbH & Co. KG"
"25525","WorldStream B.V. (REASONNET-AS)"
"25532",".masterhost autonomous system"
"25537","RU-CENTER-AS"
"25642","Spiderhost Inc"
"25653","FORTRESSITX - FortressITX, US"
"25697","UpCloud USA Inc"
"25737","JONE"
"25780","HUGESERVER-NETWORKS - HugeServer Networks, LLC, US"
"25820","IT7NET - IT7 Networks Inc, CA"
"25847","Leaseweb USA, Inc."
"25868","Ace Data Centers II, L.L.C. (ACEDATACENTERS-CORPORATE-NETWORK)"
"25897","SERVERBEACH - Cogeco Peer 1 (USA) Inc."
"25926","HostUS"
"26044","US | DEDIPRO - Dedicated Professionals"
"26045","US | NOC24-LLC - NOC24 LLC,US"
"26094","TierPoint, LLC"
"26163","Internap Holding LLC (DATAGRAM)"
"26272","US | -Reserved AS-, ZZ, US"
"26277","Las Vegas NV Datacenter"
"26383","Baxet Group Inc."
"26386","DEEPSYS-CHICAGO - Deep Systems LLC"
"26481","Rebel Hosting"
"26484","HOSTSPACE NETWORKS LLC"
"26519","Ace Data Centers II, L.L.C. (ACEDATACENTERS-DCH)"
"26639","Ace Data Centers II, L.L.C. (ACEDATACENTERS)"
"26643","Ace Data Centers II, L.L.C. (ACEDATACENTERS)"
"26658","US | HENGTONG-IDC-LLC"
"26754","ZA | SPIDD-AFRICA"
"26896","Data102 (D102-COS-2)"
"26930","US | Quantum Hosting"
"26942","Ntirety, Inc. (HOSTING-COM-ARIN)"
"26969","Ace Data Centers II, L.L.C. (ACEDATACENTERS-DCH)"
"26978","Carpathia Hosting, Inc."
"27175","AtNetHost LLC"
